idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
46,1786799104,212567399,1786799104.212567,-11.599999934349288,-1.999985058124182,0.08310268138826885,0.0,0.0,0.0,1.0,-8.354895200419677e-08,7.904907798856285e-08,0.0,0.0,0.0,0.0
47,1786799104,246548439,1786799104.246548,-11.599999936687611,-1.9999850552777712,0.083102335183215,0.0,0.0,0.0,1.0,-5.917504361013852e-08,9.076778056787894e-08,0.0,0.0,0.0,0.0
48,1786799104,281325882,1786799104.281326,-11.599999938210892,-1.9999850524430223,0.0831026749721305,0.0,0.0,0.0,1.0,-3.465506745564837e-08,7.194106110686848e-08,0.0,0.0,0.0,0.0
49,1786799104,311682862,1786799104.311683,-11.599999938913934,-1.9999850506211847,0.08310367669011785,0.0,0.0,0.0,1.0,-9.976243718860488e-09,4.066513822757603e-08,0.0,0.0,0.0,0.0
50,1786799104,345735183,1786799104.345735,-11.599999938771019,-1.9999850498249863,0.0831052166353449,0.0,0.0,0.0,1.0,1.57695172713389e-08,1.0623209038625049e-08,0.0,0.0,0.0,0.0
51,1786799104,380482735,1786799104.380483,-11.59999993780658,-1.9999850499592702,0.08310711733116662,0.0,0.0,0.0,1.0,3.930031738857099e-08,-1.5133237779160985e-08,0.0,0.0,0.0,0.0
52,1786799104,413917271,1786799104.413917,-11.599999936072708,-1.9999850508844301,0.0831092179273869,0.0,0.0,0.0,1.0,6.364748776361142e-08,-3.882557344458202e-08,0.0,0.0,0.0,0.0
53,1786799104,444946566,1786799104.444947,-11.599999933576257,-1.9999850518581097,0.08311134312921424,0.0,0.0,0.0,1.0,8.324255556813893e-08,-1.7402654998191703e-08,0.0,0.0,0.0,0.0
54,1786799104,479845563,1786799104.479846,-11.599999930471858,-1.9999850520008298,0.0831132771141114,0.0,0.0,0.0,1.0,1.0112491578183833e-07,5.8280632055057386e-09,0.0,0.0,0.0,0.0
55,1786799104,513730648,1786799104.513731,-11.59999992679936,-1.9999850514157498,0.08311481808254165,0.0,0.0,0.0,1.0,1.1757676741331184e-07,2.6815053556159834e-08,0.0,0.0,0.0,0.0
56,1786799104,547833788,1786799104.547834,-11.599999922510474,-1.9999850501696905,0.0831158811221801,0.0,0.0,0.0,1.0,1.39207495719469e-07,4.621650270306629e-08,0.0,0.0,0.0,0.0
57,1786799104,579423514,1786799104.579423,-11.59999991738907,-1.9999850482518542,0.08311640003250703,0.0,0.0,0.0,1.0,1.6553823668878204e-07,6.691915605098677e-08,0.0,0.0,0.0,0.0
58,1786799104,613053729,1786799104.613054,-11.599999911383332,-1.9999850456309303,0.08311630874972376,0.0,0.0,0.0,1.0,1.9222540382545817e-07,8.831367695993853e-08,0.0,0.0,0.0,0.0
59,1786799104,647340050,1786799104.647340,-11.59999990448179,-1.9999850422846177,0.08311562989438093,0.0,0.0,0.0,1.0,2.19267009421731e-07,1.1039893902785848e-07,0.0,0.0,0.0,0.0
60,1786799104,682133478,1786799104.682133,-11.599999897940675,-1.9999850392635747,0.08311443118876229,0.0,0.0,0.0,1.0,1.6093432066076222e-07,5.7678099267222785e-08,0.0,0.0,0.0,0.0
61,1786799104,712561129,1786799104.712561,-11.599999892343,-1.9999850378208572,0.08311286758811176,0.0,0.0,0.0,1.0,1.738937947682617e-07,3.2090662626672e-08,0.0,0.0,0.0,0.0
62,1786799104,746773748,1786799104.746774,-11.599999889699797,-1.9999850371620589,0.08311113552360525,0.0,0.0,0.0,1.0,-1.4679904613703703e-08,1.0234832105528524e-08,0.0,0.0,0.0,0.0
63,1786799104,782057843,1786799104.782058,-11.59999989373005,-1.9999850371744006,0.08310936416609022,0.0,0.0,0.0,1.0,-1.8592468196207217e-07,-8.578410720789429e-09,0.0,0.0,0.0,0.0
64,1786799104,811693697,1786799104.811694,-11.599999899063794,-1.9999850377617863,0.08310765179766487,0.0,0.0,0.0,1.0,-1.3928367945580804e-07,-2.462084150888595e-08,0.0,0.0,0.0,0.0
65,1786799104,845855191,1786799104.845855,-11.59999990290502,-1.9999850387435691,0.08310618026715674,0.0,0.0,0.0,1.0,-9.645824305820581e-08,-2.456747451332309e-08,0.0,0.0,0.0,0.0
66,1786799104,880835286,1786799104.880835,-11.59999990541674,-1.9999850393818017,0.0831049573955147,0.0,0.0,0.0,1.0,-5.864348492442864e-08,-1.9608721879571722e-08,0.0,0.0,0.0,0.0
67,1786799104,914743935,1786799104.914744,-11.599999906694725,-1.9999850394435628,0.08310389798815425,0.0,0.0,0.0,1.0,-2.2354610772470783e-08,1.2074651062149774e-08,0.0,0.0,0.0,0.0
68,1786799104,945329851,1786799104.945330,-11.599999906883724,-1.9999850385271678,0.0831032210654867,0.0,0.0,0.0,1.0,7.535291569635746e-09,3.9935392360280434e-08,0.0,0.0,0.0,0.0
69,1786799104,979954940,1786799104.979955,-11.599999906093139,-1.999985036683449,0.08310306666101687,0.0,0.0,0.0,1.0,3.6984368228321655e-08,6.799048909604626e-08,0.0,0.0,0.0,0.0
70,1786799105,13450688,1786799105.013451,-11.599999904318397,-1.9999850338943097,0.083103440414487,0.0,0.0,0.0,1.0,6.657239396031301e-08,9.659459358624622e-08,0.0,0.0,0.0,0.0
71,1786799105,47537815,1786799105.047538,-11.59999990155501,-1.999985030818067,0.08310432208602035,0.0,0.0,0.0,1.0,9.62994183769135e-08,8.517975218610387e-08,0.0,0.0,0.0,0.0
72,1786799105,79285059,1786799105.079285,-11.599999897922162,-1.9999850283691984,0.08310562931955573,0.0,0.0,0.0,1.0,1.1704317978801753e-07,6.22581701472353e-08,0.0,0.0,0.0,0.0
73,1786799105,112839659,1786799105.112840,-11.599999893678728,-1.9999850266641963,0.08310719877276869,0.0,0.0,0.0,1.0,1.3557349636977876e-07,4.246320092822026e-08,0.0,0.0,0.0,0.0
74,1786799105,147074127,1786799105.147074,-11.599999888830661,-1.9999850255650187,0.08310889413655893,0.0,0.0,0.0,1.0,1.5346575625125358e-07,2.5660417290107e-08,0.0,0.0,0.0,0.0
75,1786799105,178790375,1786799105.178790,-11.59999988552402,-1.9999850249819267,0.08311058622742944,0.0,0.0,0.0,1.0,1.1994249566141315e-08,1.1190109945955604e-08,0.0,0.0,0.0,0.0
76,1786799105,212185289,1786799105.212185,-11.599999888742483,-1.9999850248371935,0.08311213947023859,0.0,0.0,0.0,1.0,-1.8268925003606622e-07,-1.0253619283129242e-09,0.0,0.0,0.0,0.0
